name,type,value,date
北京市,,165.31,2016年
天津市,,190.64,2016年
河北省,,1819.01,2016年
山西省,,449.68,2016年
内蒙古自治区,,640,2016年
辽宁省,,1406.47,2016年
吉林省,,948.07,2016年
黑龙江省,,1275.98,2016年
上海市,,100.06,2016年
江苏省,,1690.56,2016年
浙江省,,573.83,2016年
安徽省,,1468.59,2016年
福建省,,983.18,2016年
江西省,,1617.15,2016年
山东省,,2764.09,2016年
河南省,,4284.1,2016年
湖北省,,2432.16,2016年
湖南省,,3936.63,2016年
广东省,,2076.05,2016年
广西壮族自治区,,2216.12,2016年
海南省,,385.49,2016年
重庆市,,1395.58,2016年
四川省,,4675.9,2016年
贵州省,,1498.16,2016年
云南省,,2575.4,2016年
西藏自治区,,37.38,2016年
陕西省,,827.93,2016年
甘肃省,,580.21,2016年
青海省,,123.6,2016年
宁夏回族自治区,,68.96,2016年
北京市,,165.61,2015年
天津市,,196.94,2015年
河北省,,1865.65,2015年
山西省,,485.91,2015年
内蒙古自治区,,645.34,2015年
辽宁省,,1457.48,2015年
吉林省,,972.38,2015年
黑龙江省,,1314.09,2015年
上海市,,143.86,2015年
江苏省,,1780.3,2015年
浙江省,,730.19,2015年
安徽省,,1539.37,2015年
福建省,,1066.16,2015年
江西省,,1693.35,2015年
山东省,,2849.58,2015年
河南省,,4376,2015年
湖北省,,2497.11,2015年
湖南省,,4079.4,2015年
广东省,,2135.85,2015年
广西壮族自治区,,2303.66,2015年
海南省,,401.13,2015年
重庆市,,1450.39,2015年
四川省,,4815.57,2015年
贵州省,,1558.96,2015年
云南省,,2625.28,2015年
西藏自治区,,38.57,2015年
陕西省,,845.99,2015年
甘肃省,,600.01,2015年
青海省,,118.39,2015年
宁夏回族自治区,,65.47,2015年
北京市,,179.6,2014年
天津市,,199.78,2014年
河北省,,1915.45,2014年
山西省,,514.74,2014年
内蒙古自治区,,669.44,2014年
辽宁省,,1558.8,2014年
吉林省,,1000.4,2014年
黑龙江省,,1360.29,2014年
上海市,,171.68,2014年
江苏省,,1799.5,2014年
浙江省,,964.64,2014年
安徽省,,1585.35,2014年
福建省,,1149.35,2014年
江西省,,1738.55,2014年
山东省,,2910.7,2014年
河南省,,4420,2014年
湖北省,,2550.67,2014年
湖南省,,4188.3,2014年
广东省,,2130.1,2014年
广西壮族自治区,,2360.31,2014年
海南省,,412.86,2014年
重庆市,,1483.76,2014年
四川省,,5000.59,2014年
贵州省,,1600.57,2014年
云南省,,2678.85,2014年
西藏自治区,,39.85,2014年
陕西省,,879.41,2014年
甘肃省,,619.6,2014年
青海省,,120.56,2014年
宁夏回族自治区,,75.43,2014年
北京市,,189.23,2013年
天津市,,200.99,2013年
河北省,,1932.85,2013年
山西省,,502.18,2013年
内蒙古自治区,,684.5,2013年
辽宁省,,1624.5,2013年
吉林省,,1001.15,2013年
黑龙江省,,1356.74,2013年
上海市,,184.75,2013年
江苏省,,1787.26,2013年
浙江省,,1287.53,2013年
安徽省,,1612.59,2013年
福建省,,1296.24,2013年
江西省,,1708.02,2013年
山东省,,2931.41,2013年
河南省,,4426.74,2013年
湖北省,,2566.07,2013年
湖南省,,4096.91,2013年
广东省,,2282.58,2013年
广西壮族自治区,,2471.53,2013年
海南省,,433.78,2013年
重庆市,,1502.25,2013年
四川省,,5004.1,2013年
贵州省,,1604.1,2013年
云南省,,2708.65,2013年
西藏自治区,,36.98,2013年
陕西省,,897.9,2013年
甘肃省,,608.85,2013年
青海省,,120.83,2013年
宁夏回族自治区,,75.31,2013年
北京市,,187.39,2012年
天津市,,193.75,2012年
河北省,,1847.5,2012年
山西省,,473.76,2012年
内蒙古自治区,,693.78,2012年
辽宁省,,1592.6,2012年
吉林省,,1001.15,2012年
黑龙江省,,1381.61,2012年
上海市,,178.75,2012年
江苏省,,1775.17,2012年
浙江省,,1338.33,2012年
安徽省,,1555.2,2012年
福建省,,1340.86,2012年
江西省,,1645.88,2012年
山东省,,2902.39,2012年
河南省,,4587.28,2012年
湖北省,,2543.18,2012年
湖南省,,4245.52,2012年
广东省,,2256.63,2012年
广西壮族自治区,,2466.6,2012年
海南省,,438.56,2012年
重庆市,,1524.31,2012年
四川省,,5132.41,2012年
贵州省,,1604.09,2012年
云南省,,2708.65,2012年
西藏自治区,,34.4,2012年
陕西省,,900.24,2012年
甘肃省,,590.7,2012年
青海省,,116.68,2012年
宁夏回族自治区,,69.45,2012年
北京市,,179.34,2011年
天津市,,191.26,2011年
河北省,,1885.2,2011年
山西省,,446.1,2011年
内蒙古自治区,,684.2,2011年
辽宁省,,1585.4,2011年
吉林省,,989.28,2011年
黑龙江省,,1367.93,2011年
上海市,,180.65,2011年
江苏省,,1745.49,2011年
浙江省,,1281.93,2011年
安徽省,,1467.31,2011年
福建省,,1297.8,2011年
江西省,,1570.5,2011年
山东省,,2837.13,2011年
河南省,,4569,2011年
湖北省,,2533.05,2011年
湖南省,,4158.2,2011年
广东省,,2300.6,2011年
广西壮族自治区,,2411.98,2011年
海南省,,416.49,2011年
重庆市,,1540.57,2011年
四川省,,5101.79,2011年
贵州省,,1521.6,2011年
云南省,,2689.82,2011年
西藏自治区,,32.3,2011年
陕西省,,880,2011年
甘肃省,,560.3,2011年
青海省,,115.2,2011年
宁夏回族自治区,,68.31,2011年
北京市,,183.21,2010年
天津市,,186.93,2010年
河北省,,1846.03,2010年
山西省,,474.84,2010年
内蒙古自治区,,684.38,2010年
辽宁省,,1567.63,2010年
吉林省,,986.59,2010年
黑龙江省,,1360.77,2010年
上海市,,171.87,2010年
江苏省,,1728.52,2010年
浙江省,,1248.43,2010年
安徽省,,1442.54,2010年
福建省,,1272.57,2010年
江西省,,1540.65,2010年
山东省,,2747.55,2010年
河南省,,4547.05,2010年
湖北省,,2476.1,2010年
湖南省,,4044.86,2010年
广东省,,2253.29,2010年
广西壮族自治区,,2344.04,2010年
海南省,,413.22,2010年
重庆市,,1557.87,2010年
四川省,,5157.85,2010年
贵州省,,1616.34,2010年
云南省,,2766.82,2010年
西藏自治区,,29.64,2010年
陕西省,,884.44,2010年
甘肃省,,567.2,2010年
青海省,,113.15,2010年
宁夏回族自治区,,73.7,2010年
北京市,,186.57,2009年
天津市,,180.96,2009年
河北省,,1968.04,2009年
山西省,,498.78,2009年
内蒙古自治区,,683.7,2009年
辽宁省,,1606.18,2009年
吉林省,,1007.75,2009年
黑龙江省,,1356.7,2009年
上海市,,175.16,2009年
江苏省,,1760.2,2009年
浙江省,,1225.75,2009年
安徽省,,1482.57,2009年
福建省,,1315.79,2009年
江西省,,1569.05,2009年
山东省,,2753.06,2009年
河南省,,4528.93,2009年
湖北省,,2546.12,2009年
湖南省,,4032.76,2009年
广东省,,2392.28,2009年
广西壮族自治区,,2332.38,2009年
海南省,,411.53,2009年
重庆市,,1604.07,2009年
四川省,,5122,2009年
贵州省,,1617.96,2009年
云南省,,2736.17,2009年
西藏自治区,,30.47,2009年
陕西省,,920.33,2009年
甘肃省,,568.91,2009年
青海省,,109.77,2009年
宁夏回族自治区,,91.7,2009年
北京市,,179.82,2008年
天津市,,180.26,2008年
河北省,,2015.17,2008年
山西省,,452.2,2008年
内蒙古自治区,,644.39,2008年
辽宁省,,1584,2008年
吉林省,,976.5,2008年
黑龙江省,,1286.04,2008年
上海市,,162.52,2008年
江苏省,,1716.23,2008年
浙江省,,1161.85,2008年
安徽省,,1432.43,2008年
福建省,,1324.09,2008年
江西省,,1508.7,2008年
山东省,,2725.8,2008年
河南省,,4462,2008年
湖北省,,2462.4,2008年
湖南省,,3915.3,2008年
广东省,,2380.38,2008年
广西壮族自治区,,2307,2008年
海南省,,416.25,2008年
重庆市,,1566.47,2008年
四川省,,5325.8,2008年
贵州省,,1587.47,2008年
云南省,,2669.03,2008年
西藏自治区,,30.56,2008年
陕西省,,880.7,2008年
甘肃省,,564.81,2008年
青海省,,107.21,2008年
宁夏回族自治区,,89,2008年
北京市,,168.18,2007年
天津市,,147.95,2007年
河北省,,1907.05,2007年
山西省,,422.19,2007年
内蒙古自治区,,636.37,2007年
辽宁省,,1429.44,2007年
吉林省,,1084.77,2007年
黑龙江省,,1217.2,2007年
上海市,,122.93,2007年
江苏省,,1620.06,2007年
浙江省,,1039.1,2007年
安徽省,,1334.2,2007年
福建省,,1294.62,2007年
江西省,,1420.07,2007年
山东省,,2656.51,2007年
河南省,,4185.53,2007年
湖北省,,2290.58,2007年
湖南省,,3772,2007年
广东省,,2275.09,2007年
广西壮族自治区,,2169.47,2007年
海南省,,323.44,2007年
重庆市,,1422.92,2007年
四川省,,5295.8,2007年
贵州省,,1548.7,2007年
云南省,,2457.6,2007年
西藏自治区,,25.46,2007年
陕西省,,851.6,2007年
甘肃省,,561.97,2007年
青海省,,88.78,2007年
宁夏回族自治区,,82.64,2007年
北京市,,144.59,2006年
天津市,,145.63,2006年
河北省,,1812.78,2006年
山西省,,377.32,2006年
内蒙古自治区,,620.24,2006年
辽宁省,,1416.12,2006年
吉林省,,929.54,2006年
黑龙江省,,1209.82,2006年
