name,type,value,date
"Music		",,189,2009
"Film & Video	",,207,2009
"Publishing	",,88,2009
"Photography	",,53,2009
"Technology	",,42,2009
"Journalism	",,30,2009
"Art		",,125,2009
Food,,22,2009
"Games		",,33,2009
"Fashion		",,21,2009
"Theater		",,38,2009
"Comics		",,16,2009
"Crafts		",,7,2009
"Design		",,23,2009
"Dance		",,5,2009
"Music			",,2075,2010
"Film & Video			",,3108,2010
"Publishing			",,622,2010
"Photography			",,384,2010
"Technology			",,202,2010
"Journalism			",,173,2010
"Art			",,775,2010
"Food			",,243,2010
"Games			",,218,2010
"Fashion			",,139,2010
"Theater			",,551,2010
"Comics			",,30,2010
"Crafts			",,53,2010
"Design			",,141,2010
"Dance			",,137,2010
"Music			",,6323,2011
"Film & Video			",,7859,2011
"Publishing			",,2056,2011
"Photography			",,880,2011
"Technology			",,420,2011
"Journalism			",,170,2011
"Art			",,2219,2011
"Food			",,539,2011
"Games			",,693,2011
"Fashion			",,557,2011
"Theater			",,1421,2011
"Comics			",,577,2011
"Crafts			",,111,2011
"Design			",,767,2011
"Dance			",,399,2011
"Music			",,9036,2012
"Film & Video			",,9642,2012
"Publishing			",,5228,2012
"Photography			",,1202,2012
"Technology			",,816,2012
"Journalism			",,281,2012
"Art			",,3449,2012
"Food			",,1812,2012
"Games			",,2661,2012
"Fashion			",,1601,2012
"Theater			",,1804,2012
"Comics			",,1141,2012
"Crafts			",,302,2012
"Design			",,1836,2012
"Dance			",,522,2012
"Music			",,6956,2013
"Film & Video			",,9344,2013
"Publishing			",,5695,2013
"Photography			",,1209,2013
"Technology			",,1689,2013
"Journalism			",,214,2013
"Art			",,3386,2013
"Food			",,2141,2013
"Games			",,4038,2013
"Fashion			",,2312,2013
"Theater			",,1475,2013
"Comics			",,1392,2013
"Crafts			",,478,2013
"Design			",,3080,2013
"Dance			",,533,2013
